0 1901/01/T1 06:39:48 254.18 人馬宮
1 1901/01/W2 06:43:44 254.22 人馬宮
2 1901/01/T3 06:47:41 254.25 人馬宮
3 1901/01/F4 06:51:37 254.29 人馬宮
4 1901/01/S5 06:55:34 254.32 人馬宮
5 1901/01/S6 06:59:31 254.35 人馬宮
6 1901/01/M7 07:03:27 254.39 人馬宮
7 1901/01/T8 07:07:24 254.42 人馬宮
8 1901/01/W9 07:11:20 254.45 人馬宮
9 1901/01/T10 07:15:17 254.48 人馬宮
10 1901/01/F11 07:19:13 254.51 人馬宮
11 1901/01/S12 07:23:10 254.55 人馬宮
12 1901/01/S13 07:27:06 254.58 人馬宮
13 1901/01/M14 07:31:03 255.01 人馬宮
14 1901/01/T15 07:35:00 255.04 人馬宮
15 1901/01/W16 07:38:56 255.07 人馬宮
16 1901/01/T17 07:42:53 255.1 人馬宮
17 1901/01/F18 07:46:49 255.13 人馬宮
18 1901/01/S19 07:50:46 255.16 人馬宮
19 1901/01/S20 07:54:42 255.19 人馬宮
20 1901/01/M21 07:58:39 255.22 人馬宮
21 1901/01/T22 08:02:35 255.24 人馬宮
22 1901/01/W23 08:06:32 255.27 人馬宮
23 1901/01/T24 08:10:29 255.3 人馬宮
24 1901/01/F25 08:14:25 255.33 人馬宮
25 1901/01/S26 08:18:22 255.35 人馬宮
26 1901/01/S27 08:22:18 255.38 人馬宮
27 1901/01/M28 08:26:15 255.41 人馬宮
28 1901/01/T29 08:30:11 255.43 人馬宮
29 1901/01/W30 08:34:08 255.46 人馬宮
30 1901/01/T31 08:38:04 255.48 人馬宮
31 1901/02/F1 08:42:01 255.51 人馬宮
32 1901/02/S2 08:45:58 255.53 人馬宮
33 1901/02/S3 08:49:54 255.56 人馬宮
34 1901/02/M4 08:53:51 255.58 人馬宮
35 1901/02/T5 08:57:47 256 人馬宮
36 1901/02/W6 09:01:44 256.03 人馬宮
37 1901/02/T7 09:05:40 256.05 人馬宮
38 1901/02/F8 09:09:37 256.07 人馬宮
39 1901/02/S9 09:13:33 256.09 人馬宮
40 1901/02/S10 09:17:30 256.11 人馬宮
41 1901/02/M11 09:21:27 256.13 人馬宮
42 1901/02/T12 09:25:23 256.15 人馬宮
43 1901/02/W13 09:29:20 256.17 人馬宮
44 1901/02/T14 09:33:16 256.19 人馬宮
45 1901/02/F15 09:37:13 256.21 人馬宮
46 1901/02/S16 09:41:09 256.23 人馬宮
47 1901/02/S17 09:45:06 256.25 人馬宮
48 1901/02/M18 09:49:02 256.26 人馬宮
49 1901/02/T19 09:52:59 256.28 人馬宮
50 1901/02/W20 09:56:56 256.3 人馬宮
51 1901/02/T21 10:00:52 256.31 人馬宮
52 1901/02/F22 10:04:49 256.33 人馬宮
53 1901/02/S23 10:08:45 256.34 人馬宮
54 1901/02/S24 10:12:42 256.35 人馬宮
55 1901/02/M25 10:16:38 256.37 人馬宮
56 1901/02/T26 10:20:35 256.38 人馬宮
57 1901/02/W27 10:24:31 256.39 人馬宮
58 1901/02/T28 10:28:28 256.41 人馬宮
59 1901/03/F1 10:32:25 256.42 人馬宮
60 1901/03/S2 10:36:21 256.43 人馬宮
61 1901/03/S3 10:40:18 256.44 人馬宮
62 1901/03/M4 10:44:14 256.45 人馬宮
63 1901/03/T5 10:48:11 256.46 人馬宮
64 1901/03/W6 10:52:07 256.47 人馬宮
65 1901/03/T7 10:56:04 256.48 人馬宮
66 1901/03/F8 11:00:00 256.48 人馬宮
67 1901/03/S9 11:03:57 256.49 人馬宮
68 1901/03/S10 11:07:54 256.5 人馬宮
69 1901/03/M11 11:11:50 256.51 人馬宮
70 1901/03/T12 11:15:47 256.51 人馬宮
71 1901/03/W13 11:19:43 256.52 人馬宮
72 1901/03/T14 11:23:40 256.52 人馬宮
73 1901/03/F15 11:27:36 256.53 人馬宮
74 1901/03/S16 11:31:33 256.53 人馬宮
75 1901/03/S17 11:35:29 256.53 人馬宮
76 1901/03/M18 11:39:26 256.54 人馬宮
77 1901/03/T19 11:43:22 256.54 人馬宮
78 1901/03/W20 11:47:19 256.54 人馬宮
79 1901/03/T21 11:51:16 256.54 人馬宮
80 1901/03/F22 11:55:12 256.54 人馬宮
81 1901/03/S23 11:59:09 256.54 人馬宮
82 1901/03/S24 12:03:05 256.54 人馬宮
83 1901/03/M25 12:07:02 256.54 人馬宮
84 1901/03/T26 12:10:58 256.54 人馬宮
85 1901/03/W27 12:14:55 256.54 人馬宮
86 1901/03/T28 12:18:51 256.53 人馬宮
87 1901/03/F29 12:22:48 256.53 人馬宮
88 1901/03/S30 12:26:45 256.53 人馬宮
89 1901/03/S31 12:30:41 256.52 人馬宮
90 1901/04/M1 12:34:38 256.52 人馬宮
91 1901/04/T2 12:38:34 256.51 人馬宮
92 1901/04/W3 12:42:31 256.51 人馬宮
